A.Parc.;Parc;n;DAP ;Ht;Hdom
720;452;28;16,87;13,49;
720;452;29;17,25;13,65;
720;452;30;19,74;14,65;
720;452;31;;;
720;452;32;18,75;14,26;
720;452;33;18,33;14,10;
720;452;34;18,11;14,01;
720;452;35;;;
720;452;36;16,77;13,45;
720;452;37;17,19;13,62;
720;452;38;;;
720;452;39;18,94;14,34;
720;452;40;;;
720;452;41;;;
720;452;42;;;
720;452;43;;;
720;452;44;;;
720;452;45;;;
720;452;46;18,78;14,28;
720;452;47;;;
720;452;48;18,62;14,21;
720;452;49;19,74;14,65;
720;452;50;;;
720;452;51;18,97;14,35;
720;452;52;18,46;14,15;
720;452;53;17,98;13,95;
720;452;54;;;
720;452;55;18,21;14,04;
720;452;56;17,00;13,54;
720;452;57;;;
720;452;58;;;
720;452;59;;;
720;452;60;;;
720;453;1;18,65;14,22;
720;453;2;;;
720;453;3;19,10;14,40;
720;453;4;17,19;13,62;
720;453;5;;;
720;453;6;18,94;14,34;
720;453;7;18,40;14,12;
720;453;8;18,24;14,06;
720;453;9;;;
720;453;10;19,16;14,43;
720;453;11;;;
720;453;12;18,78;14,28;
720;453;13;17,13;13,60;
720;453;14;16,71;13,42;
720;453;15;;;
720;453;16;18,56;14,19;
720;453;17;19,93;14,73;
720;453;18;;;
720;453;19;19,10;14,40;
720;453;20;;;
720;453;21;20,05;14,78;
720;453;22;17,92;13,93;
720;453;23;18,78;14,28;
720;453;24;;;
720;453;25;15,76;13,01;
720;453;26;18,72;14,25;
720;453;27;;;
720;453;28;19,26;14,47;
720;453;29;15,76;13,01;
720;453;30;;;
720;453;31;18,94;14,34;
720;453;32;;;
720;453;33;16,81;13,46;
720;453;34;17,83;13,89;
720;453;35;;;
720;453;36;17,03;13,56;
720;453;37;17,98;13,95;
720;453;38;17,28;13,66;
720;453;39;16,33;13,26;
720;453;40;;;
720;453;41;18,08;13,99;
720;453;42;;;
720;453;43;17,35;13,69;
720;453;44;18,14;14,02;
720;453;45;;;
720;453;46;18,14;14,02;
720;453;47;17,03;13,56;
720;453;48;;;
720;453;49;18,02;13,97;
720;453;50;17,67;13,82;
720;453;51;18,30;14,08;
720;453;52;13,31;11,90;
720;453;53;;;
720;453;54;17,89;13,91;
720;453;55;16,97;13,53;
720;453;56;17,57;13,78;
720;453;57;18,46;14,15;
720;453;58;;;
720;453;59;18,30;14,08;
720;453;60;18,62;14,21;
720;261;1;18,02;13,97;
720;261;2;;;
720;261;3;18,46;14,15;
720;261;4;14,39;12,40;
720;261;5;16,33;13,26;
720;261;6;16,77;13,45;
720;261;7;17,32;13,68;
720;261;8;17,25;13,65;
720;261;9;13,97;12,21;
720;261;10;18,94;14,34;
720;261;11;;;
720;261;12;;;
720;261;13;;;
720;261;14;;;
720;261;15;;;
720;261;16;;;
720;261;17;;;
720;261;18;;;
720;261;19;;;
720;261;20;;;
720;261;21;18,88;14,31;
720;261;22;15,15;12,75;
720;261;23;17,98;13,95;
720;261;24;16,84;13,48;
720;261;25;16,77;13,45;
720;261;26;17,70;13,84;
720;261;27;17,44;13,73;
